calName,categories,startDate,endDate,eventSubject,eventDesc,eventLocation
CompanyName 2021 Holiday,Holiday,20210118,20210119,Martin Luther King Jr Day,Martin Luther King Jr Day,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20210215,20210216,President's Day,President's Day,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20210531,20210601,Memorial Day,Memorial Day,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20210705,20210706,Independence Day,Independence Day,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20210906,20210907,Labor Day,Labor Day,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20211125,20211126,Thanksgiving Day,Thanksgiving Day,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20211126,20211127,Day after Thanksgiving,Day after Thanksgiving,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20211224,20211225,Christmas Holiday,Christmas Holiday,CompanyName 2021 Holiday
CompanyName 2021 Holiday,Holiday,20211227,20211228,Winter Holiday,Winter Holiday,CompanyName 2021 Holiday
